Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-04-30,3.64,4.01,3.5,4.01,120689.0,0.0,1.0,3.64,4.01,3.5,4.01,120689.0
2020-05-01,3.68,4.21,3.585,3.62,36296.0,0.0,1.0,3.68,4.21,3.585,3.62,36296.0
2020-05-04,3.52,3.52,3.265,3.4,41859.0,0.0,1.0,3.52,3.52,3.265,3.4,41859.0
2020-05-05,3.41,3.8,3.32,3.37,70855.0,0.0,1.0,3.41,3.8,3.32,3.37,70855.0
2020-05-06,3.45,3.616,3.26,3.38,54609.0,0.0,1.0,3.45,3.616,3.26,3.38,54609.0
2020-05-07,3.41,3.51,3.32,3.37,50339.0,0.0,1.0,3.41,3.51,3.32,3.37,50339.0
2020-05-08,3.41,4.0,3.41,3.96,70356.0,0.0,1.0,3.41,4.0,3.41,3.96,70356.0
2020-05-11,3.93,3.96,3.56,3.58,59680.0,0.0,1.0,3.93,3.96,3.56,3.58,59680.0
2020-05-12,3.58,3.64,3.4,3.4,43673.0,0.0,1.0,3.58,3.64,3.4,3.4,43673.0
2020-05-13,3.4,3.46,3.11,3.16,109359.0,0.0,1.0,3.4,3.46,3.11,3.16,109359.0
2020-05-14,3.12,3.29,2.95,3.24,76682.0,0.0,1.0,3.12,3.29,2.95,3.24,76682.0
2020-05-15,3.28,3.28,3.1,3.22,44155.0,0.0,1.0,3.28,3.28,3.1,3.22,44155.0
2020-05-18,3.23,3.49,3.22,3.43,236919.0,0.0,1.0,3.23,3.49,3.22,3.43,236919.0
2020-05-19,3.37,3.4999,3.3,3.41,68949.0,0.0,1.0,3.37,3.4999,3.3,3.41,68949.0
2020-05-20,3.44,3.54,3.31,3.46,78860.0,0.0,1.0,3.44,3.54,3.31,3.46,78860.0
2020-05-21,3.43,3.46,3.33,3.4,194524.0,0.0,1.0,3.43,3.46,3.33,3.4,194524.0
2020-05-22,3.39,3.58,3.31,3.41,29699.0,0.0,1.0,3.39,3.58,3.31,3.41,29699.0
2020-05-26,3.48,3.67,3.48,3.53,43777.0,0.0,1.0,3.48,3.67,3.48,3.53,43777.0
2020-05-27,3.68,3.9,3.54,3.85,80773.0,0.0,1.0,3.68,3.9,3.54,3.85,80773.0
2020-05-28,3.8,4.18,3.74,3.8,56274.0,0.0,1.0,3.8,4.18,3.74,3.8,56274.0
2020-05-29,3.72,4.22,3.55,3.8,177213.0,0.0,1.0,3.72,4.22,3.55,3.8,177213.0
2020-06-01,3.8,3.9386,3.61,3.62,64711.0,0.0,1.0,3.8,3.9386,3.61,3.62,64711.0
2020-06-02,3.67,3.93,3.5132,3.63,83214.0,0.0,1.0,3.67,3.93,3.5132,3.63,83214.0
2020-06-03,3.66,3.8,3.65,3.73,99924.0,0.0,1.0,3.66,3.8,3.65,3.73,99924.0
2020-06-04,3.65,3.75,3.53,3.7,73367.0,0.0,1.0,3.65,3.75,3.53,3.7,73367.0
2020-06-05,3.77,3.97,3.77,3.9,142215.0,0.0,1.0,3.77,3.97,3.77,3.9,142215.0
2020-06-08,4.01,4.09,3.92,4.05,84119.0,0.0,1.0,4.01,4.09,3.92,4.05,84119.0
2020-06-09,3.98,4.025,3.84,3.9,85269.0,0.0,1.0,3.98,4.025,3.84,3.9,85269.0
2020-06-10,3.91,3.92,3.65,3.78,88444.0,0.0,1.0,3.91,3.92,3.65,3.78,88444.0
2020-06-11,3.55,3.84,3.55,3.7,114351.0,0.0,1.0,3.55,3.84,3.55,3.7,114351.0
2020-06-12,3.87,3.87,3.5,3.6,155147.0,0.0,1.0,3.87,3.87,3.5,3.6,155147.0
2020-06-15,3.48,3.7,3.3,3.63,103045.0,0.0,1.0,3.48,3.7,3.3,3.63,103045.0
2020-06-16,3.77,3.81,3.545,3.68,138490.0,0.0,1.0,3.77,3.81,3.545,3.68,138490.0
2020-06-17,3.72,3.78,3.57,3.61,81725.0,0.0,1.0,3.72,3.78,3.57,3.61,81725.0
2020-06-18,3.56,3.7,3.46,3.56,104731.0,0.0,1.0,3.56,3.7,3.46,3.56,104731.0
2020-06-19,3.56,3.605,3.48,3.55,157063.0,0.0,1.0,3.56,3.605,3.48,3.55,157063.0
2020-06-22,3.48,3.5841,3.42,3.53,92860.0,0.0,1.0,3.48,3.5841,3.42,3.53,92860.0
2020-06-23,3.59,3.6923,3.43,3.52,135232.0,0.0,1.0,3.59,3.6923,3.43,3.52,135232.0
2020-06-24,3.5,3.53,3.4,3.42,233238.0,0.0,1.0,3.5,3.53,3.4,3.42,233238.0
2020-06-25,3.4,3.55,3.31,3.44,258507.0,0.0,1.0,3.4,3.55,3.31,3.44,258507.0
2020-06-26,3.37,3.4,3.19,3.26,2001560.0,0.0,1.0,3.37,3.4,3.19,3.26,2001560.0
2020-06-29,3.33,3.67,3.33,3.58,165260.0,0.0,1.0,3.33,3.67,3.33,3.58,165260.0
2020-06-30,3.57,3.77,3.55,3.66,106560.0,0.0,1.0,3.57,3.77,3.55,3.66,106560.0
2020-07-01,3.66,3.875,3.64,3.68,50517.0,0.0,1.0,3.66,3.875,3.64,3.68,50517.0
2020-07-02,3.76,3.865,3.53,3.64,104639.0,0.0,1.0,3.76,3.865,3.53,3.64,104639.0
2020-07-06,3.73,3.73,3.51,3.64,19553.0,0.0,1.0,3.73,3.73,3.51,3.64,19553.0
2020-07-07,3.58,3.7,3.51,3.52,36857.0,0.0,1.0,3.58,3.7,3.51,3.52,36857.0
2020-07-08,3.52,3.55,3.44,3.49,23659.0,0.0,1.0,3.52,3.55,3.44,3.49,23659.0
2020-07-09,3.48,3.63,3.4,3.4,43318.0,0.0,1.0,3.48,3.63,3.4,3.4,43318.0
2020-07-10,3.4,3.6,3.4,3.54,12629.0,0.0,1.0,3.4,3.6,3.4,3.54,12629.0
2020-07-13,3.57,3.71,3.38,3.53,4074.0,0.0,1.0,3.57,3.71,3.38,3.53,4074.0
2020-07-14,3.5272,3.54,3.41,3.43,13384.0,0.0,1.0,3.5272,3.54,3.41,3.43,13384.0
2020-07-15,3.51,3.6622,3.43,3.61,19579.0,0.0,1.0,3.51,3.6622,3.43,3.61,19579.0
2020-07-16,3.5562,3.72,3.4913,3.63,17882.0,0.0,1.0,3.5562,3.72,3.4913,3.63,17882.0
2020-07-17,3.57,3.7,3.5,3.66,48552.0,0.0,1.0,3.57,3.7,3.5,3.66,48552.0
2020-07-20,3.63,3.7,3.5,3.6,10615.0,0.0,1.0,3.63,3.7,3.5,3.6,10615.0
2020-07-21,3.6,3.88,3.52,3.67,37064.0,0.0,1.0,3.6,3.88,3.52,3.67,37064.0
2020-07-22,3.645,3.67,3.51,3.57,13489.0,0.0,1.0,3.645,3.67,3.51,3.57,13489.0
2020-07-23,3.73,3.76,3.55,3.7,27826.0,0.0,1.0,3.73,3.76,3.55,3.7,27826.0
2020-07-24,3.7,3.72,3.6,3.7,16129.0,0.0,1.0,3.7,3.72,3.6,3.7,16129.0
2020-07-27,3.72,3.83,3.6,3.7,61602.0,0.0,1.0,3.72,3.83,3.6,3.7,61602.0
2020-07-28,3.67,3.74,3.53,3.66,47347.0,0.0,1.0,3.67,3.74,3.53,3.66,47347.0
2020-07-29,3.65,3.74,3.62,3.71,13336.0,0.0,1.0,3.65,3.74,3.62,3.71,13336.0
2020-07-30,3.61,3.72,3.6,3.71,7021.0,0.0,1.0,3.61,3.72,3.6,3.71,7021.0
2020-07-31,3.67,3.74,3.6,3.71,20261.0,0.0,1.0,3.67,3.74,3.6,3.71,20261.0
2020-08-03,3.73,3.8,3.62,3.71,19022.0,0.0,1.0,3.73,3.8,3.62,3.71,19022.0
2020-08-04,3.75,3.78,3.5,3.57,67944.0,0.0,1.0,3.75,3.78,3.5,3.57,67944.0
2020-08-05,3.67,3.7,3.58,3.62,91373.0,0.0,1.0,3.67,3.7,3.58,3.62,91373.0
2020-08-06,3.62,3.67,3.52,3.62,16864.0,0.0,1.0,3.62,3.67,3.52,3.62,16864.0
2020-08-07,3.56,3.65,3.52,3.62,26555.0,0.0,1.0,3.56,3.65,3.52,3.62,26555.0
2020-08-10,3.6657,3.7,3.58,3.69,7653.0,0.0,1.0,3.6657,3.7,3.58,3.69,7653.0
2020-08-11,3.7,3.8,3.5,3.69,338100.0,0.0,1.0,3.7,3.8,3.5,3.69,338100.0
2020-08-12,3.69,3.8,3.6,3.74,67273.0,0.0,1.0,3.69,3.8,3.6,3.74,67273.0
2020-08-13,3.8,4.01,3.76,3.85,53529.0,0.0,1.0,3.8,4.01,3.76,3.85,53529.0
2020-08-14,3.85,3.97,3.85,3.87,9147.0,0.0,1.0,3.85,3.97,3.85,3.87,9147.0
2020-08-17,3.89,4.02,3.76,3.89,22007.0,0.0,1.0,3.89,4.02,3.76,3.89,22007.0
2020-08-18,3.7801,3.9,3.7801,3.82,12852.0,0.0,1.0,3.7801,3.9,3.7801,3.82,12852.0
2020-08-19,3.83,3.85,3.74,3.8,13614.0,0.0,1.0,3.83,3.85,3.74,3.8,13614.0
2020-08-20,3.75,3.75,3.75,3.75,979.0,0.0,1.0,3.75,3.75,3.75,3.75,979.0
2020-08-21,3.75,3.8,3.7,3.8,107184.0,0.0,1.0,3.75,3.8,3.7,3.8,107184.0
2020-08-24,3.8,3.88,3.75,3.781,19936.0,0.0,1.0,3.8,3.88,3.75,3.781,19936.0
2020-08-25,3.8001,3.91,3.8,3.82,6201.0,0.0,1.0,3.8001,3.91,3.8,3.82,6201.0
2020-08-26,3.7848,3.84,3.71,3.83,8886.0,0.0,1.0,3.7848,3.84,3.71,3.83,8886.0
2020-08-27,3.798,3.89,3.68,3.8,33012.0,0.0,1.0,3.798,3.89,3.68,3.8,33012.0
2020-08-28,3.84,3.84,3.7,3.71,20327.0,0.0,1.0,3.84,3.84,3.7,3.71,20327.0
2020-08-31,3.71,3.75,3.59,3.71,51755.0,0.0,1.0,3.71,3.75,3.59,3.71,51755.0
2020-09-01,3.68,3.72,3.6,3.7,12938.0,0.0,1.0,3.68,3.72,3.6,3.7,12938.0
2020-09-02,3.61,3.81,3.6,3.7,41782.0,0.0,1.0,3.61,3.81,3.6,3.7,41782.0
2020-09-03,3.69,3.78,3.64,3.7,38545.0,0.0,1.0,3.69,3.78,3.64,3.7,38545.0
2020-09-04,3.63,3.75,3.61,3.7,6784.0,0.0,1.0,3.63,3.75,3.61,3.7,6784.0
2020-09-08,3.6,3.71,3.6,3.6,12290.0,0.0,1.0,3.6,3.71,3.6,3.6,12290.0
2020-09-09,3.62,3.67,3.6,3.65,33128.0,0.0,1.0,3.62,3.67,3.6,3.65,33128.0
2020-09-10,3.65,3.67,3.53,3.61,26878.0,0.0,1.0,3.65,3.67,3.53,3.61,26878.0
2020-09-11,3.6,3.62,3.52,3.6,27891.0,0.0,1.0,3.6,3.62,3.52,3.6,27891.0
2020-09-14,3.59,3.68,3.4083,3.62,29318.0,0.0,1.0,3.59,3.68,3.4083,3.62,29318.0
2020-09-15,3.635,3.67,3.56,3.6,59256.0,0.0,1.0,3.635,3.67,3.56,3.6,59256.0
2020-09-16,3.6,3.71,3.53,3.6,23502.0,0.0,1.0,3.6,3.71,3.53,3.6,23502.0
2020-09-17,3.55,3.62,3.55,3.59,9823.0,0.0,1.0,3.55,3.62,3.55,3.59,9823.0
2020-09-18,3.56,3.67,3.435,3.63,33098.0,0.0,1.0,3.56,3.67,3.435,3.63,33098.0
2020-09-21,3.55,3.66,3.47,3.63,30478.0,0.0,1.0,3.55,3.66,3.47,3.63,30478.0
2020-09-22,3.56,3.66,3.31,3.63,74167.0,0.0,1.0,3.56,3.66,3.31,3.63,74167.0
2020-09-23,3.59,3.67,3.42,3.62,45060.0,0.0,1.0,3.59,3.67,3.42,3.62,45060.0
2020-09-24,3.51,3.7,3.51,3.62,14483.0,0.0,1.0,3.51,3.7,3.51,3.62,14483.0
2020-09-25,3.62,3.69,3.48,3.62,22265.0,0.0,1.0,3.62,3.69,3.48,3.62,22265.0
2020-09-28,3.66,3.82,3.66,3.7,11864.0,0.0,1.0,3.66,3.82,3.66,3.7,11864.0
2020-09-29,3.6592,3.77,3.63,3.68,10043.0,0.0,1.0,3.6592,3.77,3.63,3.68,10043.0
2020-09-30,3.61,3.74,3.57,3.72,38932.0,0.0,1.0,3.61,3.74,3.57,3.72,38932.0
2020-10-01,3.69,3.72,3.54,3.68,37757.0,0.0,1.0,3.69,3.72,3.54,3.68,37757.0
2020-10-02,3.61,3.6999,3.51,3.64,26525.0,0.0,1.0,3.61,3.6999,3.51,3.64,26525.0
2020-10-05,3.6,3.67,3.5,3.6,17128.0,0.0,1.0,3.6,3.67,3.5,3.6,17128.0
2020-10-06,3.6,3.81,3.6,3.72,18333.0,0.0,1.0,3.6,3.81,3.6,3.72,18333.0
2020-10-07,3.67,3.76,3.66,3.73,21319.0,0.0,1.0,3.67,3.76,3.66,3.73,21319.0
2020-10-08,3.67,3.72,3.6,3.72,41393.0,0.0,1.0,3.67,3.72,3.6,3.72,41393.0
2020-10-09,3.68,3.78,3.595,3.68,120965.0,0.0,1.0,3.68,3.78,3.595,3.68,120965.0
2020-10-12,3.6984,3.7,3.62,3.7,22796.0,0.0,1.0,3.6984,3.7,3.62,3.7,22796.0
2020-10-13,3.67,3.72,3.65,3.7,13355.0,0.0,1.0,3.67,3.72,3.65,3.7,13355.0
2020-10-14,3.63,3.73,3.615,3.7,13924.0,0.0,1.0,3.63,3.73,3.615,3.7,13924.0
2020-10-15,3.63,3.7,3.57,3.7,75103.0,0.0,1.0,3.63,3.7,3.57,3.7,75103.0
2020-10-16,3.735,3.81,3.66,3.71,3442.0,0.0,1.0,3.735,3.81,3.66,3.71,3442.0
2020-10-19,3.82,3.85,3.67,3.67,25017.0,0.0,1.0,3.82,3.85,3.67,3.67,25017.0
2020-10-20,3.7,3.82,3.61,3.74,20963.0,0.0,1.0,3.7,3.82,3.61,3.74,20963.0
2020-10-21,3.71,3.77,3.7,3.735,4446.0,0.0,1.0,3.71,3.77,3.7,3.735,4446.0
2020-10-22,3.74,3.8,3.71,3.73,10629.0,0.0,1.0,3.74,3.8,3.71,3.73,10629.0
2020-10-23,3.775,3.775,3.71,3.74,37704.0,0.0,1.0,3.775,3.775,3.71,3.74,37704.0
2020-10-26,3.785,3.785,3.6,3.74,13085.0,0.0,1.0,3.785,3.785,3.6,3.74,13085.0
2020-10-27,3.64,3.84,3.62,3.72,63872.0,0.0,1.0,3.64,3.84,3.62,3.72,63872.0
2020-10-28,3.71,3.74,3.64,3.72,21392.0,0.0,1.0,3.71,3.74,3.64,3.72,21392.0
2020-10-29,3.61,3.75,3.61,3.72,7743.0,0.0,1.0,3.61,3.75,3.61,3.72,7743.0
2020-10-30,3.68,3.75,3.63,3.71,19846.0,0.0,1.0,3.68,3.75,3.63,3.71,19846.0
2020-11-02,3.74,3.94,3.74,3.86,25476.0,0.0,1.0,3.74,3.94,3.74,3.86,25476.0
2020-11-03,4.03,4.2,3.96,4.17,38842.0,0.0,1.0,4.03,4.2,3.96,4.17,38842.0
2020-11-04,4.19,4.36,4.04,4.19,35395.0,0.0,1.0,4.19,4.36,4.04,4.19,35395.0
2020-11-05,4.2,4.31,4.16,4.2,15925.0,0.0,1.0,4.2,4.31,4.16,4.2,15925.0
2020-11-06,4.29,4.29,3.96,4.12,328244.0,0.0,1.0,4.29,4.29,3.96,4.12,328244.0
2020-11-09,4.29,4.46,4.22,4.4,339934.0,0.0,1.0,4.29,4.46,4.22,4.4,339934.0
2020-11-10,4.36,4.49,4.35,4.42,112311.0,0.0,1.0,4.36,4.49,4.35,4.42,112311.0
2020-11-11,4.45,4.45,4.3,4.4,81763.0,0.0,1.0,4.45,4.45,4.3,4.4,81763.0
2020-11-12,4.39,4.4,4.31,4.38,72883.0,0.0,1.0,4.39,4.4,4.31,4.38,72883.0
2020-11-13,4.35,4.37,4.25,4.34,64357.0,0.0,1.0,4.35,4.37,4.25,4.34,64357.0
2020-11-16,4.35,4.49,4.3,4.37,191954.0,0.0,1.0,4.35,4.49,4.3,4.37,191954.0
2020-11-17,4.5,4.64,4.37,4.6,9745.0,0.0,1.0,4.5,4.64,4.37,4.6,9745.0
2020-11-18,4.63,4.91,4.61,4.66,11045.0,0.0,1.0,4.63,4.91,4.61,4.66,11045.0
2020-11-19,4.76,4.76,4.27,4.61,123026.0,0.0,1.0,4.76,4.76,4.27,4.61,123026.0
2020-11-20,4.56,4.65,4.51,4.63,80285.0,0.0,1.0,4.56,4.65,4.51,4.63,80285.0
2020-11-23,4.61,4.93,4.61,4.76,51131.0,0.0,1.0,4.61,4.93,4.61,4.76,51131.0
2020-11-24,4.82,5.02,4.82,4.95,21866.0,0.0,1.0,4.82,5.02,4.82,4.95,21866.0
2020-11-25,5.0225,5.04,4.93,5.01,18167.0,0.0,1.0,5.0225,5.04,4.93,5.01,18167.0
2020-11-27,4.98,5.01,4.91,5.0,2735.0,0.0,1.0,4.98,5.01,4.91,5.0,2735.0
2020-11-30,4.99,5.07,4.88,5.0,20810.0,0.0,1.0,4.99,5.07,4.88,5.0,20810.0
2020-12-01,5.02,5.15,4.85,5.12,5176.0,0.0,1.0,5.02,5.15,4.85,5.12,5176.0
2020-12-02,4.99,5.14,4.955,5.0,18821.0,0.0,1.0,4.99,5.14,4.955,5.0,18821.0
2020-12-03,5.03,5.09,4.84,4.97,56863.0,0.0,1.0,5.03,5.09,4.84,4.97,56863.0
2020-12-04,4.95,5.08,4.9277,4.95,12177.0,0.0,1.0,4.95,5.08,4.9277,4.95,12177.0
2020-12-07,4.93,4.98,4.91,4.98,8774.0,0.0,1.0,4.93,4.98,4.91,4.98,8774.0
2020-12-08,4.9,4.9,4.79,4.85,13872.0,0.0,1.0,4.9,4.9,4.79,4.85,13872.0
2020-12-09,4.76,4.78,4.76,4.77,975.0,0.0,1.0,4.76,4.78,4.76,4.77,975.0
2020-12-10,4.73,5.06,4.63,4.95,16599.0,0.0,1.0,4.73,5.06,4.63,4.95,16599.0
2020-12-11,4.91,4.98,4.8834,4.9,18780.0,0.0,1.0,4.91,4.98,4.8834,4.9,18780.0
2020-12-14,4.9,5.07,4.9,4.94,34959.0,0.0,1.0,4.9,5.07,4.9,4.94,34959.0
2020-12-15,4.95,5.07,4.88,5.0,60096.0,0.0,1.0,4.95,5.07,4.88,5.0,60096.0
